#  wvl   a     b     c     rmse
615.1450195 0.0001936 0.0000160 0.0000000 0.0000000
617.6049805 0.0001831 0.0000157 0.0000000 0.0000000
620.0599976 0.0001726 0.0000154 0.0000000 0.0000000
622.5300293 0.0001560 0.0000158 0.0000000 0.0000000
624.9869995 0.0001394 0.0000161 0.0000000 0.0000000
627.4320068 0.0001494 0.0000154 0.0000000 0.0000000
629.9000244 0.0001593 0.0000147 0.0000000 0.0000000
632.3750000 0.0001541 0.0000146 0.0000000 0.0000000
634.8330078 0.0001490 0.0000145 0.0000000 0.0000000
637.3049927 0.0001474 0.0000143 0.0000000 0.0000000
639.7899780 0.0001462 0.0000142 0.0000000 0.0000000
641.0300293 0.0001437 0.0000142 0.0000000 0.0000000
642.2550049 0.0001395 0.0000142 0.0000000 0.0000000
643.4799805 0.0001352 0.0000143 0.0000000 0.0000000
644.7150269 0.0001310 0.0000144 0.0000000 0.0000000
645.9650269 0.0001301 0.0000143 0.0000000 0.0000000
647.1849976 0.0001327 0.0000142 0.0000000 0.0000000
648.4349976 0.0001353 0.0000140 0.0000000 0.0000000
649.6699829 0.0001379 0.0000138 0.0000000 0.0000000
650.9149780 0.0001377 0.0000137 0.0000000 0.0000000
652.1530151 0.0001347 0.0000137 0.0000000 0.0000000
653.3880005 0.0001317 0.0000136 0.0000000 0.0000000
654.6250000 0.0001287 0.0000136 0.0000000 0.0000000
655.8699951 0.0001144 0.0000135 0.0000000 0.0000000
657.0999756 0.0000889 0.0000135 0.0000000 0.0000000
658.3400269 0.0000633 0.0000135 0.0000000 0.0000000
659.6019898 0.0000378 0.0000135 0.0000000 0.0000000
660.8350220 0.0000246 0.0000135 0.0000000 0.0000000
662.0679932 0.0000238 0.0000136 0.0000000 0.0000000
663.2999878 0.0000230 0.0000136 0.0000000 0.0000000
664.5650024 0.0000221 0.0000136 0.0000000 0.0000000
665.7949829 0.0000221 0.0000135 0.0000000 0.0000000
667.0250244 0.0000227 0.0000134 0.0000000 0.0000000
668.2650147 0.0000234 0.0000132 0.0000000 0.0000000
669.5180054 0.0000240 0.0000131 0.0000000 0.0000000
670.7550049 0.0000241 0.0000130 0.0000000 0.0000000
671.9899902 0.0000237 0.0000129 0.0000000 0.0000000
673.2449951 0.0000233 0.0000128 0.0000000 0.0000000
674.5050049 0.0000228 0.0000127 0.0000000 0.0000000
675.7299805 0.0000230 0.0000126 0.0000000 0.0000000
676.9619751 0.0000239 0.0000126 0.0000000 0.0000000
678.2050171 0.0000248 0.0000126 0.0000000 0.0000000
679.4450073 0.0000257 0.0000126 0.0000000 0.0000000
680.6799927 0.0000258 0.0000126 0.0000000 0.0000000
681.9180298 0.0000252 0.0000126 0.0000000 0.0000000
683.1729736 0.0000246 0.0000126 0.0000000 0.0000000
684.4180298 0.0000240 0.0000126 0.0000000 0.0000000
685.6550293 0.0000236 0.0000126 0.0000000 0.0000000
686.8950195 0.0000232 0.0000126 0.0000000 0.0000000
688.1400147 0.0000229 0.0000126 0.0000000 0.0000000
689.3900147 0.0000226 0.0000126 0.0000000 0.0000000
690.6500244 0.0000224 0.0000126 0.0000000 0.0000000
691.8900147 0.0000226 0.0000126 0.0000000 0.0000000
693.1300049 0.0000227 0.0000125 0.0000000 0.0000000
694.3850098 0.0000228 0.0000125 0.0000000 0.0000000
695.6450195 0.0000224 0.0000125 0.0000000 0.0000000
696.8900147 0.0000214 0.0000124 0.0000000 0.0000000
698.1199951 0.0000205 0.0000124 0.0000000 0.0000000
699.3720093 0.0000196 0.0000124 0.0000000 0.0000000
700.6119995 0.0000195 0.0000123 0.0000000 0.0000000
701.8549805 0.0000202 0.0000123 0.0000000 0.0000000
703.0999756 0.0000208 0.0000122 0.0000000 0.0000000
704.3549805 0.0000215 0.0000122 0.0000000 0.0000000
705.5900269 0.0000221 0.0000121 0.0000000 0.0000000
706.8350220 0.0000227 0.0000121 0.0000000 0.0000000
708.0869751 0.0000233 0.0000120 0.0000000 0.0000000
709.3350220 0.0000239 0.0000120 0.0000000 0.0000000
710.5800171 0.0000239 0.0000120 0.0000000 0.0000000
711.8250122 0.0000232 0.0000120 0.0000000 0.0000000
713.0650024 0.0000225 0.0000120 0.0000000 0.0000000
714.3150024 0.0000219 0.0000120 0.0000000 0.0000000
716.8170166 0.0000605 0.0000121 0.0000000 0.0000000
719.2949829 0.0000995 0.0000122 0.0000000 0.0000000
721.7999878 0.0000999 0.0000123 0.0000000 0.0000000
724.3049927 0.0001003 0.0000124 0.0000000 0.0000000
726.7949829 0.0000951 0.0000125 0.0000000 0.0000000
729.2999878 0.0000899 0.0000125 0.0000000 0.0000000
731.7899780 0.0000929 0.0000124 0.0000000 0.0000000
734.2800293 0.0000958 0.0000124 0.0000000 0.0000000
736.7930298 0.0000964 0.0000124 0.0000000 0.0000000
739.2880249 0.0000968 0.0000124 0.0000000 0.0000000
740.5349731 0.0000970 0.0000124 0.0000000 0.0000000
741.7830200 0.0000970 0.0000124 0.0000000 0.0000000
743.0449829 0.0000971 0.0000123 0.0000000 0.0000000
744.2849731 0.0000971 0.0000123 0.0000000 0.0000000
745.5349731 0.0000978 0.0000123 0.0000000 0.0000000
746.7899780 0.0000991 0.0000123 0.0000000 0.0000000
748.0399780 0.0001004 0.0000123 0.0000000 0.0000000
749.2800293 0.0001017 0.0000123 0.0000000 0.0000000
750.5399780 0.0001027 0.0000123 0.0000000 0.0000000
751.7899780 0.0001036 0.0000122 0.0000000 0.0000000
753.0399780 0.0001045 0.0000122 0.0000000 0.0000000
754.2949829 0.0001053 0.0000121 0.0000000 0.0000000
755.5399780 0.0001057 0.0000121 0.0000000 0.0000000
756.8020019 0.0001055 0.0000122 0.0000000 0.0000000
758.0499878 0.0001053 0.0000122 0.0000000 0.0000000
759.2999878 0.0001052 0.0000123 0.0000000 0.0000000
760.5599976 0.0001063 0.0000123 0.0000000 0.0000000
761.7999878 0.0001086 0.0000123 0.0000000 0.0000000
763.0599976 0.0001109 0.0000122 0.0000000 0.0000000
764.3099976 0.0001133 0.0000122 0.0000000 0.0000000
765.5570068 0.0001142 0.0000122 0.0000000 0.0000000
766.8179932 0.0001137 0.0000122 0.0000000 0.0000000
768.0700073 0.0001133 0.0000122 0.0000000 0.0000000
769.3300171 0.0001128 0.0000122 0.0000000 0.0000000
770.5650024 0.0001109 0.0000123 0.0000000 0.0000000
771.8250122 0.0001076 0.0000123 0.0000000 0.0000000
773.0750122 0.0001043 0.0000124 0.0000000 0.0000000
