#            wvl              a              b              c           rmse
380.000000  0.014933803728  1.385820619777  0.001174457415  0.000041763681
390.000000  0.013773316721  1.229172224506  0.000662360638  0.000027665299
399.999900  0.012779962095  1.104013885770  0.000251771125  0.000013228800
410.000000  0.012265061089  1.035774003110  0.000137556018  0.000008264595
420.000000  0.011882442710  0.959482584124  0.000172842825  0.000011575650
430.000000  0.011672267599  0.931615712174  0.000151312632  0.000010990804
439.999900  0.011704826848  0.943315318147  0.000123293300  0.000009882479
450.000000  0.011819849276  0.967455671279  0.000102643289  0.000008998438
460.000100  0.011855068485  0.977319270488  0.000089028667  0.000008409406
469.999900  0.011689272700  0.935643250019  0.000140000369  0.000014183652
479.999900  0.011480581115  0.877846904067  0.000228401734  0.000024672033
490.000200  0.011262273954  0.854551924909  0.000186862462  0.000021496360
500.000000  0.011040357257  0.829674037669  0.000148158550  0.000018023560
510.000100  0.010797473480  0.801126054857  0.000113678552  0.000014591505
520.000300  0.010588613904  0.777227821388  0.000084608646  0.000011435376
530.000100  0.010422520937  0.759864369300  0.000055118513  0.000007846629
540.000100  0.010284260108  0.746344632314  0.000029223570  0.000004330710
550.000200  0.010180530111  0.737725464772  0.000003853670  0.000000596607
560.000100  0.010077106039  0.723773819019  0.000000002894  0.000000000747
570.000300  0.009967301993  0.708087095372  0.000000001596  0.000000000456
580.000000  0.009847637712  0.691187288527  0.000000000668  0.000000000209
590.000200  0.009718230761  0.673141118439  0.000000000230  0.000000000072
600.000300  0.009578442035  0.653915293126  0.000000000036  0.000000000020
610.000300  0.009435777916  0.634581148336  0.000000000023  0.000000000018
620.000100  0.009295261157  0.615821623265  0.000000000042  0.000000000017
630.000200  0.009153894811  0.597232703493  0.000000000018  0.000000000014
640.000400  0.009023672049  0.580361172779  0.000000000040  0.000000000011
650.000100  0.008906830313  0.565429030247  0.000000000025  0.000000000012
660.000200  0.008810292965  0.553238567172  0.000000000011  0.000000000009
670.000200  0.008729558518  0.543145653319  0.000000000018  0.000000000009
680.000400  0.008661737614  0.534738920904  0.000000000013  0.000000000009
690.000100  0.008605473202  0.527814430001  0.000000000012  0.000000000014
700.000300  0.008559443837  0.522183134470  0.000000000011  0.000000000011
710.000100  0.008520642828  0.517459620976  0.000000000029  0.000000000012
720.000400  0.008486696695  0.513344723152  0.000000000049  0.000000000021
730.000200  0.008455237285  0.509545935121  0.000000000037  0.000000000022
